"Date","Case_Status","Cases_Count"
"2021-01-11","Active",77
"2021-01-11","Deceased",25
"2021-01-11","Recovered",2120
"2021-01-13","Active",62
"2021-01-13","Deceased",25
"2021-01-13","Recovered",2141
"2021-01-15","Active",76
"2021-01-15","Deceased",25
"2021-01-15","Recovered",2145
"2021-01-17","Active",82
"2021-01-17","Deceased",25
"2021-01-17","Recovered",2149
"2021-01-18","Active",85
"2021-01-18","Deceased",25
"2021-01-18","Recovered",2152
"2021-01-20","Active",76
"2021-01-20","Deceased",25
"2021-01-20","Recovered",2166
"2021-01-22","Active",73
"2021-01-22","Deceased",25
"2021-01-22","Recovered",2178
"2021-01-26","Active",66
"2021-01-26","Deceased",25
"2021-01-26","Recovered",2200
"2021-01-27","Active",68
"2021-01-27","Deceased",25
"2021-01-27","Recovered",2201
"2021-01-28","Active",69
"2021-01-28","Deceased",25
"2021-01-28","Recovered",2205
"2021-02-01","Active",69
"2021-02-01","Deceased",25
"2021-02-01","Recovered",2209
"2021-02-02","Active",72
"2021-02-02","Deceased",25
"2021-02-02","Recovered",2210
"2021-02-03","Active",61
"2021-02-03","Deceased",25
"2021-02-03","Recovered",2222
"2021-02-04","Active",60
"2021-02-04","Deceased",25
"2021-02-04","Recovered",2228
"2021-02-05","Active",62
"2021-02-05","Deceased",25
