"Location","Report_date","Cases"
"Total","2020-08-24",7
"Total","2020-08-23",8
"Total","2020-08-22",4
"Total","2020-08-21",7
"Total","2020-08-20",7
"Total","2020-08-19",5
"Total","2020-08-18",11
"Total","2020-08-17",9
"Total","2020-08-16",12
"Total","2020-08-15",14
"Total","2020-08-14",5
"Total","2020-08-13",12
"Total","2020-08-12",15
"Total","2020-08-11",5
"Total","2020-08-10",0
"Total","2020-08-09",0
"Total","2020-08-08",0
"Total","2020-08-07",0
"Total","2020-08-06",0
"Total","2020-08-05",0
"Total","2020-08-04",2
"Total","2020-08-03",0
"Total","2020-08-02",3
"Total","2020-08-01",2
"Total","2020-07-31",2
"Total","2020-07-30",0
"Total","2020-07-29",1
"Total","2020-07-28",1
"Total","2020-07-27",2
"Total","2020-07-26",0
"Total","2020-07-25",0
"Total","2020-07-24",1
"Total","2020-07-23",0
"Total","2020-07-22",0
"Total","2020-07-21",0
"Total","2020-07-20",1
"Total","2020-07-19",1
"Total","2020-07-18",2
"Total","2020-07-17",2
"Total","2020-07-16",1
"Total","2020-07-15",0
"Total","2020-07-14",3
"Total","2020-07-13",1
"Total","2020-07-12",0
"Total","2020-07-11",1
"Total","2020-07-10",0
"Total","2020-07-09",3
"Total","2020-07-08",2
"Total","2020-07-07",2
"Total","2020-07-06",3
"Total","2020-07-05",3
"Total","2020-07-04",0
"Total","2020-07-03",0
"Total","2020-07-02",1
"Total","2020-07-01",1
"Total","2020-06-30",0
"Total","2020-06-29",1
"Total","2020-06-28",1
"Total","2020-06-27",5
"Total","2020-06-26",1
"Total","2020-06-25",1
"Total","2020-06-24",3
"Total","2020-06-23",1
"Total","2020-06-22",2
"Total","2020-06-21",3
"Total","2020-06-20",1
"Total","2020-06-19",2
"Total","2020-06-18",0
"Total","2020-06-17",1
"Total","2020-06-16",2
"Total","2020-06-15",0
"Total","2020-06-14",0
"Total","2020-06-13",0
"Total","2020-06-12",0
"Total","2020-06-11",0
"Total","2020-06-10",0
"Total","2020-06-09",0
"Total","2020-06-08",0
"Total","2020-06-07",0
"Total","2020-06-06",0
"Total","2020-06-05",0
"Total","2020-06-04",0
"Total","2020-06-03",0
"Total","2020-06-02",0
"Total","2020-06-01",0
"Total","2020-05-31",0
"Total","2020-05-30",0
"Total","2020-05-29",0
"Total","2020-05-28",0
"Total","2020-05-27",0
"Total","2020-05-26",0
"Total","2020-05-25",0
"Total","2020-05-24",0
"Total","2020-05-23",0
"Total","2020-05-22",1
"Total","2020-05-21",0
"Total","2020-05-20",0
"Total","2020-05-19",0
"Total","2020-05-18",0
"Total","2020-05-17",0
"Total","2020-05-16",0
"Total","2020-05-15",1
"Total","2020-05-14",1
"Total","2020-05-13",0
"Total","2020-05-12",0
"Total","2020-05-11",0
"Total","2020-05-10",3
"Total","2020-05-09",1
"Total","2020-05-08",1
"Total","2020-05-07",1
"Total","2020-05-06",2
"Total","2020-05-05",2
"Total","2020-05-04",0
"Total","2020-05-03",1
"Total","2020-05-02",0
"Total","2020-05-01",6
"Total","2020-04-30",3
"Total","2020-04-29",2
"Total","2020-04-28",1
"Total","2020-04-27",3
"Total","2020-04-26",3
"Total","2020-04-25",6
"Total","2020-04-24",6
"Total","2020-04-23",5
"Total","2020-04-22",5
"Total","2020-04-21",6
"Total","2020-04-20",3
"Total","2020-04-19",10
"Total","2020-04-18",10
"Total","2020-04-17",12
"Total","2020-04-16",17
"Total","2020-04-15",11
"Total","2020-04-14",16
"Total","2020-04-13",11
"Total","2020-04-12",20
"Total","2020-04-11",25
"Total","2020-04-10",27
"Total","2020-04-09",44
"Total","2020-04-08",28
"Total","2020-04-07",37
"Total","2020-04-06",53
"Total","2020-04-05",70
"Total","2020-04-04",77
"Total","2020-04-03",75
"Total","2020-04-02",82
"Total","2020-04-01",73
"Total","2020-03-31",77
"Total","2020-03-30",52
"Total","2020-03-29",74
"Total","2020-03-28",72
"Total","2020-03-27",75
"Total","2020-03-26",79
"Total","2020-03-25",84
"Total","2020-03-24",58
"Total","2020-03-23",41
"Total","2020-03-22",44
"Total","2020-03-21",24
"Total","2020-03-20",11
"Total","2020-03-19",18
"Total","2020-03-18",5
"Total","2020-03-17",12
"Total","2020-03-16",7
"Total","2020-03-15",1
"Total","2020-03-14",1
"Total","2020-03-13",1
"Total","2020-03-12",1
"Total","2020-03-11",0
"Total","2020-03-10",0
"Total","2020-03-09",0
"Total","2020-03-08",0
"Total","2020-03-07",0
"Total","2020-03-06",1
"Total","2020-03-05",2
